text,label,cleaned_text
"Đặt trên shopee, chán thật sự, không đáng giá tiền, 😫!!!",0,đặt trên shopee chán thật sự không đáng giá tiền
"😢 Chất lượng , đáng đồng tiền...!?(?)",0,chất lượng đáng đồng tiền
"Dùng được 1 tuần, Tạm ổn, cần cải thiện thêm 👀 🆗...(?!)(?!) #review#product_review",1,dùng 1 tuần tạm ổn cần cải thiện thêm reviewproduct_review
"Sản phẩm đỉnh quá, 👍",2,sản phẩm đỉnh quá
"Dùng được 1 tuần, Đóng gói đẹp, giao hàng nhanh, xuất sắc!!!!!! <3",2,dùng 1 tuần đóng gói đẹp giao hàng nhanh xuất sắc 3
"Mới mua, Giao hàng ,.. 💔",0,mới mua giao hàng
"😞 Hơi thất vọng về , 😠",0,hơi thất vọng về
"không đáng tiền, chất lượng , cần cải thiện thêm!?...",0,không đáng tiền chất lượng cần cải thiện thêm
"Sản phẩm tuyệt vờiiii quá, ❤️, xuất sắc!!!",2,sản phẩm tuyệt vờiiii quá xuất sắc
"đét không dc tốt,!!(?)",0,đét không dc tốt
"vl Dùng được,.......?...",1,vl dùng
"Dùng được 1 tuần, quá tệ, không được tốt,!?",0,dùng 1 tuần quá tệ không tốt
"Đóng góiii gọn gàng, giao hàng tốt! vãi cả l ưng cái bụng",2,đóng góiii gọn gàng giao hàng tốt vãi cả l ưng cái bụng
"Dùng được 1 tuần, Sản phẩm đỉnh quá,..",2,dùng 1 tuần sản phẩm đỉnh quá
"cũng được 🤔 Sản phẩm tạm được, cần cải thiện thêm!! buon #review#product_review",1,cũng sản phẩm tạm cần cải thiện thêm buon reviewproduct_review
"Đóng gói cẩn thận, giao hàng nhanh!!!..!!!",2,đóng gói cẩn thận giao hàng nhanh
"Dùng được 1 tuần, Giao hàng ,, không đáng tiền #review#product_review",0,dùng 1 tuần giao hàng không đáng tiền reviewproduct_review
"Giá tiềb tốt, chất lượng xứng đáng ✨!!!",2,giá tiềb tốt chất lượng xứng đáng
"Không có gì đặc biệt,!!!",1,không gì đặc biệt
"Chất lượng , đánggg đồnggg tiền",0,chất lượng đánggg đồnggg tiền
"quá xá Hơi thất vọng về , 👎 thất vọng quá thất vọng quá(?)(?)>.<",0,quá xá hơi thất vọng về thất vọng quá thất vọng quá
"Đặt trên shopee, Giao hàng ,",0,đặt trên shopee giao hàng
"buon Tạm ổn, đáng đồng tiền 🆗",1,buon tạm ổn đáng đồng tiền
"Mới mua, Mình rất mê với 🥰! 😊!!! <3!!!",2,mới mua mình rất mê với 3
"Dùngg được, 👀.......",1,dùngg
"Hơi thất vọng về , 😠?!(?)(?)>.<",0,hơi thất vọng về
"Không có gì đặc biệt, 😐..(?!)",1,không gì đặc biệt
"Đặt trên shopee, 👍 Mình rất yêu với",2,đặt trên shopee mình rất yêu với
"Mới mua, 😢 Hơi thất vọng về , 👎..>.<...",0,mới mua hơi thất vọng về
Mình rất hài lòng với 🥰,2,mình rất hài lòng với
"Dùng được 1 tuần, 😢 Chất lượngggg , thấy rất worth!!!",0,dùng 1 tuần chất lượngggg thấy rất worth
"Chất lượng , cần cải thiện thêm 😠",0,chất lượng cần cải thiện thêm
"Chất lượng , cần cải thiện thêm!!! 😕",0,chất lượng cần cải thiện thêm
"Đóng gói chắc chắn, giao hàng chuyên nghiệp?!",2,đóng gói chắc chắn giao hàng chuyên nghiệp
"Dùng được 1 tuần, khong đáng giá tiền,, quá tệ..",0,dùng 1 tuần khong đáng giá tiền quá tệ
"Giá tiền tốt, đáng đồng tiền 😄!!",2,giá tiền tốt đáng đồng tiền
"Mới mua, Cũng được, nhưng cần cải thiện thêm..",1,mới mua cũng nhưng cần cải thiện thêm
"💁 Không có gì đặc biệt,....(?!) #review#product_review",1,không gì đặc biệt reviewproduct_review
"Cũng được, nhưng nên nâng cấp dịch vụ",1,cũng nhưng nên nâng cấp dịch vụ
"Cũng được, nhưng cần cảiii thiện thêm...(?!)",1,cũng nhưng cần cảiii thiện thêm
"Hơi thất vọng về , 😕(?)",0,hơi thất vọng về
"Mới mua, tốt hơn mong đợi, thấy rất worth?! #review#product_review",2,mới mua tốt hơn mong đợi thấy rất worth reviewproduct_review
"Đặt trên shopee, tạm được, 🆗 sản phẩm tạm được, giá hơi cao?! tương đối ổn.",1,đặt trên shopee tạm sản phẩm tạm giá hơi cao tương đối ổn
"Đặt trên shopee, 😠 Chất lượng , cần cải thiện thêm #review#product_review",0,đặt trên shopee chất lượng cần cải thiện thêm reviewproduct_review
"khong được tốt,! 💔",0,khong tốt
"Đặt trên shopee, Giao hàng ,>.<",0,đặt trên shopee giao hàng
"Đặt trên shopee, Không đáng giá tiền, 😫!!!! chán thật sự vãi cả l hông",0,đặt trên shopee không đáng giá tiền chán thật sự vãi cả l hông
"Đóng gói cẩn thận, giao hàng đúng hẹn, ưng cái bụng..!!!",2,đóng gói cẩn thận giao hàng đúng hẹn ưng cái bụng
"Dùng được 1 tuần, Đóng gói gọn gàng, giao hàng chuyên nghiệp!!! <3!!! <3!!!",2,dùng 1 tuần đóng gói gọn gàng giao hàng chuyên nghiệp 3 3
"ưng cái bụng Đặt trên shopee, 😊 tốt hơn mong đợi, thấy rất worth!!!...!!!",2,ưng cái bụng đặt trên shopee tốt hơn mong đợi thấy rất worth
"không có gì đặc biệt không có gì đặc biệt Đặt trên shopee, cũng được, không có gì đặc biệt, 👀",1,không gì đặc biệt không gì đặc biệt đặt trên shopee cũng không gì đặc biệt
"thất vọng quá, 😫 không đángg giá tuền,!? #review#product_review",0,thất vọng quá không đángg giá tuền reviewproduct_review
"Đóng gói cẩn thận, giao hàngggg chuyên nghiệp 🥰.....!!!!!! <3",2,đóng gói cẩn thận giao hàngggg chuyên nghiệp 3
"Dùng được 1 tuần, 🆗 Cũng được, nhưngggg cần cải thiện thêm",1,dùng 1 tuần cũng nhưngggg cần cải thiện thêm
"Đặt trên shopee, ✨ Giá tiền tốt, rat hời!!! cực kỳ hài lòng!?!!?!!!! <3",2,đặt trên shopee giá tiền tốt rat hời cực kỳ hài lòng 3
"đét Sản phẩm tạm được, đáng đồngggg tiền 💁",1,đét sản phẩm tạm đáng đồngggg tiền
"bình thường, đét 👀 sản phẩm tạm được, thấy rất worth!!!...?...? #review#product_review",1,bình thường đét sản phẩm tạm thấy rất worth reviewproduct_review
"kinh hoàng Kgông đáng giá tiền, 😕 #review#product_review",0,kinh hoàng kgông đáng giá tiền reviewproduct_review
"Không có gì đặc biệt,, tạm được!!....(?!)",1,không gì đặc biệt tạm
"Đặt trên shopee, Không có gì đặc biệt,",1,đặt trên shopee không gì đặc biệt
"tot hơn mong đợi, thấy rat worth..!!!!!!",2,tot hơn mong đợi thấy rat worth
"Giá tiền rẻ, chất lượng xứng đáng...!!!!!! <3 #review#product_review",2,giá tiền rẻ chất lượng xứng đáng 3 reviewproduct_review
"quá tệ, hơi thất vọng về , 😢",0,quá tệ hơi thất vọng về
"dã man Không có gì đặc biệt,!...? #review#product_review",1,dã man không gì đặc biệt reviewproduct_review
"Không có gì đặc biệt,!!. #review#product_review",1,không gì đặc biệt reviewproduct_review
"Dùng được 1 tuần, quá xá Không có gì đặc biệt,...(?!)",1,dùng 1 tuần quá xá không gì đặc biệt
"Đặt trên shopee, Giá tiềb rẻ, chất lượng xứng đáng..!!! <3...!!! #review#product_review",2,đặt trên shopee giá tiềb rẻ chất lượng xứng đáng 3 reviewproduct_review
"Dùng được,!!! hông tương đối ổn",1,dùng hông tương đối ổn
"Giá tiền hợp lý, chất lượng xứng đáng ❤️...!!!...!!!!!!",2,giá tiền hợp lý chất lượng xứng đáng
"Tạm ổn, cần cải thiện thêm........?.",1,tạm ổn cần cải thiện thêm
"Đặt trên shopee, 🆗 Cũng được, nhưng cần cải thiện thêm.....",1,đặt trên shopee cũng nhưng cần cải thiện thêm
💯 Mình rat ưng vớiiii?! bùn,2,mình rat ưng vớiiii bùn
"💁 Dùng được, 💁",1,dùng
"tốt hơn mong đợi, cần cải thiện thêm, xuất sắc...!!!!!! <3...!!!",2,tốt hơn mong đợi cần cải thiện thêm xuất sắc 3
"😠 dã man Giao hànggg ,",0,dã man giao hànggg
"okê Mới mua, Chất lượng , cần cải thiện thêm",0,okê mới mua chất lượng cần cải thiện thêm
"Dùng được 1 tuần, Mình rất ưng vớiii, đỉnh thật sự éo không có gì để chê!!! <3!!! <3 #review#product_review",2,dùng 1 tuần mình rất ưng vớiii đỉnh thật sự éo không gì để chê 3 3 reviewproduct_review
"Mới mua, ❤️ Đóng gói cẩn thận, giaooo hàng tot, đỉnh thật sự!?!",2,mới mua đóng gói cẩn thận giaooo hàng tot đỉnh thật sự
"quá xá Sản phẩm xuất sắc quá,, ưng cái bụng!!!",2,quá xá sản phẩm xuất sắc quá ưng cái bụng
"kinh hoàng tốt hơn mong đợi, đángggg đồng tiền 🥰!!! <3!!! <3",2,kinh hoàng tốt hơn mong đợi đángggg đồng tiền 3 3
"Dùng được 1 tuần, Giá tiền rẻ, đáng đồngggg tiền #review#product_review",2,dùng 1 tuần giá tiền rẻ đáng đồngggg tiền reviewproduct_review
"🆗 Không có gì đặc biệt,(?!)(?!).",1,không gì đặc biệt
"Sản phẩm tạm được, giá hơi cao..",1,sản phẩm tạm giá hơi cao
"Mới mua, Mình rất yêu với!!! 👍!?! #review#product_review",2,mới mua mình rất yêu với reviewproduct_review
"Dùng được 1 tuần, Cũng được, nhưng có thể tốt hơn nữa 💁, tương đối ổn 😐?!...?",1,dùng 1 tuần cũng nhưng có thể tốt hơn nữa tương đối ổn
"Dùng được 1 tuần, Dùng được, không có gì đặc biệt",1,dùng 1 tuần dùng không gì đặc biệt
"Đặt trên shopee, không được tốt,?!!?",0,đặt trên shopee không tốt
"Đặt trên shopee, tốt hơn mong đợi, thấy rất worth 👍",2,đặt trên shopee tốt hơn mong đợi thấy rất worth
Mình rất ưng với!!! 🥰!!!,2,mình rất ưng với
"Giao hàng , 😞 😞>.<...",0,giao hàng
"thất vọng quá 😕 😢 Giao hàng ,!?...",0,thất vọng quá giao hàng
Mình rất ưng với #review#product_review,2,mình rất ưng với reviewproduct_review
"Đặt trên shopee, Sản phẩm tạm được, cần cải thiện thêm(?!)...?",1,đặt trên shopee sản phẩm tạm cần cải thiện thêm
oce 💯 Mình rat hàiii lòng với,2,oce mình rat hàiii lòng với
"Dùng được 1 tuần, 🆗 Không có gì đặc biệt, 🤔...?..",1,dùng 1 tuần không gì đặc biệt
"🆗 tương đối ổn, sản phẩm tạm được, giá hơi cao!....?(?!)",1,tương đối ổn sản phẩm tạm giá hơi cao
"Giao hàng ,! 😕",0,giao hàng
"💭 Cũng được, nhưng có thể tốt hơn nữa tương đối ổn",1,cũng nhưng có thể tốt hơn nữa tương đối ổn
"khong đáng giá tiền,.. #review#product_review",0,khong đáng giá tiền reviewproduct_review
"kinh hoàng Đóng gói gọn gàng, giao hàng chuyên nghiệp 😄!",2,kinh hoàng đóng gói gọn gàng giao hàng chuyên nghiệp
"vãi cả l bik Khônggg có gì đặc biệt, 💭",1,vãi cả l bik khônggg gì đặc biệt
"cực kỳ hài lòng không có gì để chê Đóng góii đẹp, giao hàng đúng hẹn!!!!?!!!!",2,cực kỳ hài lòng không gì để chê đóng góii đẹp giao hàng đúng hẹn
"Chất lượng , thấy rất worth, chán thật sự",0,chất lượng thấy rất worth chán thật sự
"Cũng được, nhưng có thể tốt hơn nữa #review#product_review",1,cũng nhưng có thể tốt hơn nữa reviewproduct_review
"Đặt trên shopee, Khônggg có gì đặc biệt,....?",1,đặt trên shopee khônggg gì đặc biệt
"Dùng được 1 tuần, Chất lượng , giá hơi cao..!?(?)",0,dùng 1 tuần chất lượng giá hơi cao
"quá xịn luôn Sản phẩm tot quá,!!! !?!",2,quá xịn luôn sản phẩm tot quá
"tốt hơn mong đợi, giá hơi cao!!",2,tốt hơn mong đợi giá hơi cao
"bik Hơi thất vọng về , 😕, thất vọng quá>.<(?)(?) #review#product_review",0,bik hơi thất vọng về thất vọng quá reviewproduct_review
"không đáng tiền Dùng được 1 tuần, khong đáng giá tiền,!!",0,không đáng tiền dùng 1 tuần khong đáng giá tiền
"Cũngg được, nhưng cần cải thiện thêm 💭.. #review#product_review",1,cũngg nhưng cần cải thiện thêm reviewproduct_review
🥰 Mình rat ưng vớiiii 😊!...!!!!!!,2,mình rat ưng vớiiii
"Dùng được 1 tuần, khong đáng giá tiền,..(?) #review#product_review",0,dùng 1 tuần khong đáng giá tiền reviewproduct_review
"Dùng được,!! #review#product_review",1,dùng reviewproduct_review
"vãi cả l Đóng gói đẹp, giao hàngggg đúng hẹn z",2,vãi cả l đóng gói đẹp giao hàngggg đúng hẹn z
"Sản phẩm tuyệt vời quá,, đỉnh thật sự #review#product_review",2,sản phẩm tuyệt vời quá đỉnh thật sự reviewproduct_review
Mình rất ưnggg với,2,mình rất ưnggg với
"không thể chấp nhận được, chất lượng , đángg đồng tiền!!!?!",0,không thể chấp nhận chất lượng đángg đồng tiền
"cực kỳ hài lòng okela hông đỉnh thật sự, kinh hoàng giá tiền phải chăng, chất lượng xứng đáng",2,cực kỳ hài lòng okela hông đỉnh thật sự kinh hoàng giá tiền phải chăng chất lượng xứng đáng
"Mới mua, 😄 kinh hoàng tốt hơn mong đợi, đáng đồng tiền?!, không có gì để chê!!!",2,mới mua kinh hoàng tốt hơn mong đợi đáng đồng tiền không gì để chê
"tốt hơn mong đợi, giá hơi cao",2,tốt hơn mong đợi giá hơi cao
"Dùng được,!!...?",1,dùng
"👀 Sản phẩm tạm được, cần cải thiện thêm!!!",1,sản phẩm tạm cần cải thiện thêm
"z 👎 Không đáng giá tiền,..",0,z không đáng giá tiền
"Dùng được 1 tuần, 💁 Sản phẩm tạm được, giá hơi cao!!",1,dùng 1 tuần sản phẩm tạm giá hơi cao
"không có gì đặc biệt Sản phẩm tạm được, đáng đồng tiền....?",1,không gì đặc biệt sản phẩm tạm đáng đồng tiền
"Dùng được 1 tuần, Không đáng giá tiền,, thất vọng quá 😕",0,dùng 1 tuần không đáng giá tiền thất vọng quá
"Mới mua, Dùng được,?!",1,mới mua dùng
"tốt hơn mong đợi, giá hơi cao!!! <3!?!!!! <3",2,tốt hơn mong đợi giá hơi cao 3 3
"💯 Giá tiền hợp lý, chất lượng xứngg đáng!! #review#product_review",2,giá tiền hợp lý chất lượng xứngg đáng reviewproduct_review
"Mới mua, Giaooo hàng ,!!(?)... #review#product_review",0,mới mua giaooo hàng reviewproduct_review
"Sản phẩm tạm được, thấy rất worth",1,sản phẩm tạm thấy rất worth
"Dùng được 1 tuần, Đóng góiiii gọn gàng, giao hàng chuyên nghiệp",2,dùng 1 tuần đóng góiiii gọn gàng giao hàng chuyên nghiệp
Mình rất mê với!?!,2,mình rất mê với
"💔 khonggg đáng giá tiền,..!!!...",0,khonggg đáng giá tiền
"cũng được Cũng được, nhưng cần cải thiện thêm?!",1,cũng cũng nhưng cần cải thiện thêm
"Dùng được 1 tuần, không được tốt, #review#product_review",0,dùng 1 tuần không tốt reviewproduct_review
"Dùng được 1 tuần, 😄 Sản phẩm đỉnh quá, cực kỳ hài lòng!!! <3!!! <3",2,dùng 1 tuần sản phẩm đỉnh quá cực kỳ hài lòng 3 3
"khong có gì đặc biệt,(?!)",1,khong gì đặc biệt
"dã man Chất lượng , cần cảiii thiện thêm!! #review#product_review",0,dã man chất lượng cần cảiii thiện thêm reviewproduct_review
"Tạm ổn, cần cảiii thiện thêm, không có gì đặc biệt #review#product_review",1,tạm ổn cần cảiii thiện thêm không gì đặc biệt reviewproduct_review
"chán thật sự, không dc tốt,",0,chán thật sự không dc tốt
"bình thường, không có gì đặc biệt,!!!...(?!)",1,bình thường không gì đặc biệt
"💁 bình thường, 💭 sản phẩm tạm được, cần cảiii thiện thêm!!!!!! tương đối ổn tương đối ổn bình thường",1,bình thường sản phẩm tạm cần cảiii thiện thêm tương đối ổn tương đối ổn bình thường
"kinh hoàng Dùng được,.....?..",1,kinh hoàng dùng
"Dùng được 1 tuần, hem có gì đặc biệt,",1,dùng 1 tuần hem gì đặc biệt
"Hơi thất vọng về , 😢(?)... #review#product_review",0,hơi thất vọng về reviewproduct_review
"quá xịn luôn Đặt trên shopee, ✨ Giá tiền hợp lý, đáng đồng tiền !?!",2,quá xịn luôn đặt trên shopee giá tiền hợp lý đáng đồng tiền
"Đặt trên shopee, 💔 đét khong đáng giá tiền, 😢",0,đặt trên shopee đét khong đáng giá tiền
"Mới mua, tạm được, tạm ổn, cần cải thiện thêm(?!) #review#product_review",1,mới mua tạm tạm ổn cần cải thiện thêm reviewproduct_review
"khong được tốt, 😕...!?",0,khong tốt
"quá xịn luôn, tot hơn mong đợi, cần cải thiện thêm z",2,quá xịn luôn tot hơn mong đợi cần cải thiện thêm z
"👀 kinh hoàng Sản phẩm tạm được, thấy rất woeth...?(?!)...",1,kinh hoàng sản phẩm tạm thấy rất woeth
"Mới mua, 💔 Hơi thất vọng về ,?! #review#product_review",0,mới mua hơi thất vọng về reviewproduct_review
"đéo Mới mua, 🥰 dã man Mình rat hài lòngggg với!!! ...!!! #review#product_review",2,đéo mới mua dã man mình rat hài lòngggg với reviewproduct_review
"Hơi thất vọng về ,, chán thật sự chán thật sự chán thật sự không đáng tiền!?>.<!?",0,hơi thất vọng về chán thật sự chán thật sự chán thật sự không đáng tiền
"kinh hoàng Không đáng giá tiền,, không thể chấp nhận được!!!!?(?)>.<",0,kinh hoàng không đáng giá tiền không thể chấp nhận
"Đặt trên shopee, Đóng gói gọn gàng, giao hàng tot ❤️!!...!!!...!!! #review#product_review",2,đặt trên shopee đóng gói gọn gàng giao hàng tot reviewproduct_review
"đỉnh thật sự, sản phẩm tuyệt vờii quá,",2,đỉnh thật sự sản phẩm tuyệt vờii quá
"quá tệ, 😢 chất lượng , đáng đồnggg tiền!!!!!",0,quá tệ chất lượng đáng đồnggg tiền
"Đặt trên shopee, 😢 Hơi thất vọngg về ,...",0,đặt trên shopee hơi thất vọngg về
"Không đángggg giá tiền,, quá tệ #review#product_review",0,không đángggg giá tiền quá tệ reviewproduct_review
"Đặt trên shopee, ❤️ Sản phẩm xuất sắc quá,, quá xịn luôn ưng cái bụng quá xịn luôn xuất sắc",2,đặt trên shopee sản phẩm xuất sắc quá quá xịn luôn ưng cái bụng quá xịn luôn xuất sắc
"bik bình thường Dùng được 1 tuần, cũng được, dùng được, 👀.",1,bik bình thường dùng 1 tuần cũng dùng
"không được tốt, 😢>.<",0,không tốt
"tạm được Không có gì đặc biệt, 💁 #review#product_review",1,tạm không gì đặc biệt reviewproduct_review
"Chất lượng , giá hơi caooo, chán thật sự?!",0,chất lượng giá hơi caooo chán thật sự
"kinh hoàng Sản phẩm chất lượng quá, 👍!!?!!!!...!!! #review#product_review",2,kinh hoàng sản phẩm chất lượng quá reviewproduct_review
"ưng cái bụng cực kỳ hài lòng tốt hơn mong đợi, thấy rat worth..!!",2,ưng cái bụng cực kỳ hài lòng tốt hơn mong đợi thấy rat worth
"💁 tương đối ổn, tạm ổn, giá hơi cao...?. #review#product_review",1,tương đối ổn tạm ổn giá hơi cao reviewproduct_review
"🤔 Cũng được, nhưng cần cải thiện thêm.., tạm được?!...",1,cũng nhưng cần cải thiện thêm tạm
"Mới mua, Hơi thất vọng về , 😢?! 😠>.<...>.<",0,mới mua hơi thất vọng về
"✨ Mình rất thích với, cực kỳ hài lòng!!!",2,mình rất thích với cực kỳ hài lòng
"Mới mua, Chất lượng , đáng đồng tiền",0,mới mua chất lượng đáng đồng tiền
"Chất lượng , cần cải thiện thêm, quá tệ(?)!? #review#product_review",0,chất lượng cần cải thiện thêm quá tệ reviewproduct_review
"Đặt trên shopee, 💁 🤔 Sản phẩm tạm được, đáng đồng tiền........?.",1,đặt trên shopee sản phẩm tạm đáng đồng tiền
quá xá 💯 Mìng rất yêuuu với?!!!! <3...!!!!?!,2,quá xá mìng rất yêuuu với 3
"dã man Giá tiềb rẻ, đáng đồng tiền..!!",2,dã man giá tiềb rẻ đáng đồng tiền
"Cũng được, nhưng có thể tốt hơn nữa!!!",1,cũng nhưng có thể tốt hơn nữa
"cũng được Sản phẩm tạm được, cần cải thiện thêm 🆗, bình thường.......",1,cũng sản phẩm tạm cần cải thiện thêm bình thường
"Đặt trên shopee, Mình rất ưng với!!! #review#product_review",2,đặt trên shopee mình rất ưng với reviewproduct_review
"Dùng được,......?...?",1,dùng
"Đặt trên shopee, 💔 Hơi thấr vọng về ,!!!, thất vọng quá!!",0,đặt trên shopee hơi thấr vọng về thất vọng quá
"dã man Cũng được, nhưng cần cảiiii thiện thêm?!",1,dã man cũng nhưng cần cảiiii thiện thêm
"dã man Sản phẩm đỉnh quá,.....!!! #review#product_review",2,dã man sản phẩm đỉnh quá reviewproduct_review
"Đặt trên shopee, không thể chấp nhận được, giao hàng ,",0,đặt trên shopee không thể chấp nhận giao hàng
"Mới mua, Khôngg đánggg giá tiền, 👎 😠..",0,mới mua khôngg đánggg giá tiền
"Tạm ổn, thấy rat worth 👀..",1,tạm ổn thấy rat worth
"Mới mua, đét Sản phẩm đỉnh quá,!!!!!!!!!!!! <3 #review#product_review",2,mới mua đét sản phẩm đỉnh quá 3 reviewproduct_review
"Dùng được 1 tuần, tốt hơn mong đợi, cần cải thiện thêm 🥰!!!!?!...!!!!?!",2,dùng 1 tuần tốt hơn mong đợi cần cải thiện thêm
"Sản phẩm tạm được, giá hơi cao!!!...?(?!)",1,sản phẩm tạm giá hơi cao
"Cũng được, nhưng cần cải thiện thêm 👀!! #review#product_review",1,cũng nhưng cần cải thiện thêm reviewproduct_review
"tương đối ổn, tạm ổn, giá hơi cao..",1,tương đối ổn tạm ổn giá hơi cao
"Dùng được 1 tuần, dã man Sản phẩm xuất sắc quá,..",2,dùng 1 tuần dã man sản phẩm xuất sắc quá
"Mới mua, tốt hơn mong đợi, giá hơi cao!!! <3!!! <3",2,mới mua tốt hơn mong đợi giá hơi cao 3 3
"Giá tiền hợp lý, rat hời ✨?!!?!!!!!!! <3",2,giá tiền hợp lý rat hời 3
"Mới mua, Giá tiền tốt, chất lượng xứng đángg ❤️?!!!! <3!!! #review#product_review",2,mới mua giá tiền tốt chất lượng xứng đángg 3 reviewproduct_review
"kinh hoàng Chất lượng , thấy rất worth>.<(?)",0,kinh hoàng chất lượng thấy rất worth
"chán thật sự 😞 khong đáng giá tiền,! 😕?!",0,chán thật sự khong đáng giá tiền
"đỉnh thật sự, đóng gói gọn gàng, giao hàng chuyên nghiệp!!!",2,đỉnh thật sự đóng gói gọn gàng giao hàng chuyên nghiệp
"💭 tương đối ổn, quá xá dùng được,.(?!)...?",1,tương đối ổn quá xá dùng
"Đặt trên shopee, tot hơn mong đợi, thấy rất worth 🥰!?!!!!",2,đặt trên shopee tot hơn mong đợi thấy rất worth
"Đóng gói cẩn thận, giao hàng tot..",2,đóng gói cẩn thận giao hàng tot
"Dùng được 1 tuần, không được tốt,!!! #review#product_review",0,dùng 1 tuần không tốt reviewproduct_review
"Giao hàng ,!!! vcl không đáng tiền",0,giao hàng vcl không đáng tiền
"tốt hơn mobg đợi, thấy rất worth ❤️!!",2,tốt hơn mobg đợi thấy rất worth
"dã man khong có gì đặc biệt,!!!(?!) #review#product_review",1,dã man khong gì đặc biệt reviewproduct_review
"Sản phẩm đỉnh quá,!!!!!!...!!!",2,sản phẩm đỉnh quá
"👍 tot hơn mong đợi, thấy rat worth...!!!!!! <3!!! <3 #review#product_review",2,tot hơn mong đợi thấy rat worth 3 3 reviewproduct_review
"được của l* 😕 không đc tốt,",0,l không đc tốt
"Chất lượng , thấy rất worth!?...>.<",0,chất lượng thấy rất worth
"bik Dùng được 1 tuần, 🥰 Mình rất yêu với ✨..  #review#product_review",2,bik dùng 1 tuần mình rất yêu với reviewproduct_review
"khong đáng giá tiền,...>.<(?)",0,khong đáng giá tiền
"quá xá tốt hơn mong đợi, đáng đồng tiền ❤️!!!",2,quá xá tốt hơn mong đợi đáng đồng tiền
"Mới mua, Sản phẩm chất lượng quá, 😊",2,mới mua sản phẩm chất lượng quá
"😠 không được tốt,",0,không tốt
"vãi cả l không có gì đặc biệt Sản phẩm tạm được, thấy rat worth..(?!)(?!) #review#product_review",1,vãi cả l không gì đặc biệt sản phẩm tạm thấy rat worth reviewproduct_review
"😐 Sản phẩm tạm được, giá hơi cao?!.",1,sản phẩm tạm giá hơi cao
"😄 Sản phẩm xuất sắc quá, ✨!!! <3!?! #review#product_review",2,sản phẩm xuất sắc quá 3 reviewproduct_review
"vkoj vãi cả l Đặt trên shopee, đét Dùng được,",1,vkoj vãi cả l đặt trên shopee đét dùng
"không có gì để chê, 😄 đóng gói đẹp, giao hàng đúng hẹn!!",2,không gì để chê đóng gói đẹp giao hàng đúng hẹn
"👀 Dùng được,!!! dz huhu...?.",1,dùng dz huhu
"cực kỳ hài lòng z Dùng được 1 tuần, ❤️ xuất sắc, giá tiền hợp lý, rất hời?!",2,cực kỳ hài lòng z dùng 1 tuần xuất sắc giá tiền hợp lý rất hời
"Đóng gói chắc chắn, giao hàng chuyên nghiệp, quá xịn luôn",2,đóng gói chắc chắn giao hàng chuyên nghiệp quá xịn luôn
"tốt hơn mongggg đợi, cần cải thiện thêm!!!...!!!",2,tốt hơn mongggg đợi cần cải thiện thêm
"dã man Sản phẩm đỉnh quá,?!!!",2,dã man sản phẩm đỉnh quá
"khongg được tốt, không đáng tiền chán thật sự!?",0,khongg tốt không đáng tiền chán thật sự
"không có gì đặc biệt Sản phẩm tạm được, giá hơi cao 💭 .....",1,không gì đặc biệt sản phẩm tạm giá hơi cao
"quá xịn luôn vcl bít đỉnh thật sự, ✨ tốt hơn mong đợi, giá hơi caooo #review#product_review",2,quá xịn luôn vcl bít đỉnh thật sự tốt hơn mong đợi giá hơi caooo reviewproduct_review
"đỉnh thật sự Dùng được 1 tuần, cực kỳ hài lòng, quá xá mình rất thích với..",2,đỉnh thật sự dùng 1 tuần cực kỳ hài lòng quá xá mình rất thích với
"huhu Dùng được 1 tuần, kinh hoàng 🥰 Mình rất hàiiii lònggg với?!!!!!!! <3",2,huhu dùng 1 tuần kinh hoàng mình rất hàiiii lònggg với 3
"zui Dùng được 1 tuần, Giao hàng , 😠!?",0,zui dùng 1 tuần giao hàng
"Dùng được,!! không có gì đặc biệt",1,dùng không gì đặc biệt
"Dùng được 1 tuần, đét Giá tiền tốt, chất lượng xứng đáng!!!",2,dùng 1 tuần đét giá tiền tốt chất lượng xứng đáng
"Sản phẩm tuyệt vời quá,..!!!",2,sản phẩm tuyệt vời quá
"Mới mua, không thể chấp nhận được, không đáng giá tiền,",0,mới mua không thể chấp nhận không đáng giá tiền
"🥰 đỉnh thật sự, sản phẩm đỉnh quá,",2,đỉnh thật sự sản phẩm đỉnh quá
"chán thật sự Mới mua, đét khong được tốt,.. >.<>.<!?",0,chán thật sự mới mua đét khong tốt
"cực kỳ hài lòng 👍 tốt hơn mong đợi, đáng đồng tiền",2,cực kỳ hài lòng tốt hơn mong đợi đáng đồng tiền
"cực kỳ hài lòng đỉnh thật sự xuất sắc Mới mua, Mình rat yêu với!!!...!!!",2,cực kỳ hài lòng đỉnh thật sự xuất sắc mới mua mình rat yêu với
"👍 đỉnh thật sự, 🥰 mình rat ưng với zui...!!!",2,đỉnh thật sự mình rat ưng với zui
"tương đối ổn, 👀 dùngg được,.. 👀!!(?!)....?",1,tương đối ổn dùngg
"Cũng được, nhưng có thể tốt hơn nữa 🆗",1,cũng nhưng có thể tốt hơn nữa
"Tạm ổn, thấy rat worth",1,tạm ổn thấy rat worth
"Đặt trên shopee, Không đángggg giá tiền,",0,đặt trên shopee không đángggg giá tiền
"tot hơn mong đợi, giá hơi cao!!...!!!!?!!!! #review#product_review",2,tot hơn mong đợi giá hơi cao reviewproduct_review
